Date,Open,High,Low,Close,Adj Close,Volume
2023-04-07,6.280593,6.318220,6.146037,6.184780,6.184780,149605230
2023-04-08,6.183818,6.231033,6.117025,6.135957,6.135957,120313705
2023-04-09,6.136725,6.256309,6.112719,6.216215,6.216215,130492162
2023-04-10,6.215664,6.309911,6.128348,6.290450,6.290450,145028919
2023-04-11,6.290743,6.486581,6.286141,6.425752,6.425752,206394580
2023-04-12,6.425168,6.468590,6.238207,6.415193,6.415193,191915042
2023-04-13,6.405644,6.648485,6.362749,6.642448,6.642448,205465267
2023-04-14,6.642839,6.838646,6.555449,6.734031,6.734031,306241172
2023-04-15,6.734532,6.851329,6.651035,6.806903,6.806903,194370592
2023-04-16,6.806473,6.870469,6.690176,6.833064,6.833064,184532381
2023-04-17,6.832514,6.832514,6.650697,6.695543,6.695543,210933974
2023-04-18,6.696887,6.978065,6.612998,6.922027,6.922027,241653739
2023-04-19,6.920840,6.920840,6.274493,6.319921,6.319921,301612588
2023-04-20,6.318785,6.433405,6.084675,6.111230,6.111230,240517995
2023-04-21,6.111576,6.165235,5.796901,5.851494,5.851494,213504772
2023-04-22,5.851185,5.974475,5.827691,5.953292,5.953292,120513765
2023-04-23,5.953295,5.970683,5.799275,5.917685,5.917685,133626835
2023-04-24,5.916682,6.007950,5.819150,5.891438,5.891438,153343402
2023-04-25,5.891338,6.009574,5.795554,6.001256,6.001256,143709783
2023-04-26,6.001087,6.212215,5.666397,5.852432,5.852432,255969404
2023-04-27,5.852897,6.042602,5.842123,5.971175,5.971175,178453274
2023-04-28,5.971468,5.977924,5.809395,5.948595,5.948595,144987784
2023-04-29,5.948914,6.051445,5.934620,6.040212,6.040212,113145134
2023-04-30,6.040326,6.082650,5.864463,5.901271,5.901271,119162982
2023-05-01,5.899718,5.907486,5.610579,5.667923,5.667923,137117816
2023-05-02,5.667945,5.754560,5.634294,5.718678,5.718678,104107817
2023-05-03,5.718494,5.806151,5.570416,5.778507,5.778507,124693271
2023-05-04,5.779535,5.797880,5.631793,5.669314,5.669314,96457571
2023-05-05,5.669566,5.895874,5.668397,5.853751,5.853751,134145378
2023-05-06,5.853591,5.894886,5.619234,5.653783,5.653783,117757503
2023-05-07,5.653132,5.703423,5.624429,5.641277,5.641277,82065322
2023-05-08,5.639027,5.650325,5.227635,5.375893,5.375893,183507351
2023-05-09,5.375855,5.403285,5.302740,5.328574,5.328574,111609334
2023-05-10,5.328268,5.511980,5.270139,5.470532,5.470532,170149217
2023-05-11,5.470270,5.470270,5.197532,5.285426,5.285426,133681821
2023-05-12,5.285465,5.349149,5.160696,5.345988,5.345988,128052830
2023-05-13,5.346107,5.388090,5.323237,5.351904,5.351904,83347439
2023-05-14,5.351845,5.439048,5.323539,5.354409,5.354409,80152673
2023-05-15,5.354269,5.427287,5.285287,5.320286,5.320286,107494871
2023-05-16,5.320494,5.333458,5.246933,5.299292,5.299292,97178715
2023-05-17,5.299126,5.431959,5.238080,5.413901,5.413901,114115077
2023-05-18,5.413921,5.461698,5.259049,5.341459,5.341459,116698596
2023-05-19,5.341423,5.385832,5.329813,5.370039,5.370039,98607672
2023-05-20,5.370105,5.445813,5.341625,5.414481,5.414481,83602754
2023-05-21,5.414169,5.430837,5.261873,5.273440,5.273440,84108758
2023-05-22,5.273119,5.334197,5.240392,5.312617,5.312617,90637667
2023-05-23,5.312992,5.442327,5.301219,5.400730,5.400730,91170740
2023-05-24,5.400870,5.402217,5.203414,5.260034,5.260034,105438307
2023-05-25,5.259590,5.290488,5.167324,5.244405,5.244405,104241281
2023-05-26,5.244437,5.269233,5.199320,5.248437,5.248437,92187777
2023-05-27,5.248079,5.370301,5.237842,5.337991,5.337991,85933928
2023-05-28,5.337578,5.557139,5.323190,5.508674,5.508674,93503432
2023-05-29,5.508845,5.532398,5.431162,5.460806,5.460806,97804783
2023-05-30,5.460938,5.527162,5.424761,5.443802,5.443802,101319207
2023-05-31,5.444194,5.460067,5.277181,5.317827,5.317827,109985965
2023-06-01,5.317673,5.333052,5.203870,5.210670,5.210670,106143989
2023-06-02,5.210442,5.297353,5.178528,5.279885,5.279885,115192777
2023-06-03,5.280089,5.330342,5.253010,5.330342,5.330342,72829815
2023-06-04,5.331198,5.378437,5.317245,5.319442,5.319442,89142937
2023-06-05,5.319041,5.319413,4.943348,5.073203,5.073203,174078984
2023-06-06,5.072848,5.260871,5.000309,5.208307,5.208307,121110990
2023-06-07,5.208156,5.208343,4.991734,5.022200,5.022200,119172236
2023-06-08,5.022527,5.055152,4.989095,5.026038,5.026038,99375553
2023-06-09,5.026210,5.067061,4.942057,4.982105,4.982105,91799916
2023-06-10,4.982219,4.983325,4.247436,4.526294,4.526294,301787813
2023-06-11,4.526132,4.547545,4.439938,4.521619,4.521619,113632369
2023-06-12,4.521309,4.548453,4.450338,4.532446,4.532446,113772804
2023-06-13,4.532518,4.695994,4.507047,4.622073,4.622073,115909247
2023-06-14,4.622071,4.792687,4.534450,4.569850,4.569850,130135248
2023-06-15,4.569945,4.612410,4.283474,4.377184,4.377184,191717237
2023-06-16,4.377059,4.453419,4.297904,4.416847,4.416847,108807587
2023-06-17,4.416987,4.559695,4.400118,4.526131,4.526131,94181697
2023-06-18,4.525902,4.661501,4.489462,4.530963,4.530963,97195546
2023-06-19,4.531147,4.581550,4.449982,4.522422,4.522422,94392197
2023-06-20,4.522753,4.673692,4.379486,4.668924,4.668924,120595261
2023-06-21,4.668569,4.852588,4.643674,4.829426,4.829426,156905291
2023-06-22,4.828272,4.969238,4.779751,4.830628,4.830628,145580309
2023-06-23,4.830538,5.134512,4.828192,5.100215,5.100215,164328402
2023-06-24,5.100292,5.132454,4.950829,5.007447,5.007447,118793919
2023-06-25,5.007744,5.238465,5.007744,5.194805,5.194805,152201774
2023-06-26,5.195071,5.229889,5.016224,5.026731,5.026731,168272647
2023-06-27,5.026796,5.149453,5.009680,5.095864,5.095864,109751636
2023-06-28,5.096224,5.096224,4.819217,4.883012,4.883012,128183152
2023-06-29,4.882914,5.215077,4.878955,4.986261,4.986261,185398755
2023-06-30,4.985711,5.194458,4.861046,5.171703,5.171703,228375938
2023-07-01,5.172425,5.360187,5.128095,5.349747,5.349747,175093625
2023-07-02,5.349830,5.516881,5.240558,5.501915,5.501915,161274627
2023-07-03,5.501717,5.623974,5.396595,5.419309,5.419309,154150961
2023-07-04,5.419329,5.504986,5.280696,5.347220,5.347220,130405132
2023-07-05,5.347634,5.375832,5.135490,5.209113,5.209113,120050685
2023-07-06,5.209137,5.354019,5.026049,5.026049,5.026049,128130665
2023-07-07,5.026891,5.173571,4.999241,5.114978,5.114978,98531631
2023-07-08,5.115361,5.194323,5.065363,5.126468,5.126468,80326756
2023-07-09,5.126849,5.159105,5.073301,5.079419,5.079419,76857572
2023-07-10,5.079653,5.221866,5.002889,5.135243,5.135243,110385346
2023-07-11,5.135094,5.213992,5.101893,5.211542,5.211542,84554930
2023-07-12,5.211628,5.303439,5.114293,5.148021,5.148021,110018525
2023-07-13,5.147960,5.550839,5.110781,5.545455,5.545455,194557236
2023-07-14,5.545279,5.676333,5.328530,5.452579,5.452579,237377620
2023-07-15,5.452368,5.555492,5.395592,5.431672,5.431672,123450298
2023-07-16,5.431386,5.444286,5.286416,5.306897,5.306897,110311882
2023-07-17,5.307148,5.413878,5.192425,5.303729,5.303729,142782126
2023-07-18,5.304191,5.379997,5.130268,5.179271,5.179271,138815422
2023-07-19,5.179849,5.254170,5.148426,5.197084,5.197084,100692905
2023-07-20,5.196591,5.354822,5.148426,5.349978,5.349978,163477901
2023-07-21,5.350341,5.687629,5.345674,5.489811,5.489811,220209203
2023-07-22,5.489883,5.512513,5.285521,5.308442,5.308442,114148410
2023-07-23,5.308907,5.478124,5.288041,5.397667,5.397667,110419326
2023-07-24,5.397284,5.410700,5.140911,5.215538,5.215538,143517821
2023-07-25,5.216086,5.249206,5.144342,5.176484,5.176484,94297672
2023-07-26,5.176601,5.292043,5.130080,5.237876,5.237876,101577403
2023-07-27,5.238000,5.310226,5.194895,5.233479,5.233479,97730518
2023-07-28,5.233512,5.268229,5.168625,5.216774,5.216774,96971888
2023-07-29,5.216359,5.255799,5.211046,5.252100,5.252100,69433200
2023-07-30,5.252013,5.270881,5.115447,5.186025,5.186025,100151395
2023-07-31,5.185904,5.252074,5.073564,5.108363,5.108363,107235439
2023-08-01,5.108517,5.198036,5.004908,5.198036,5.198036,126524088
2023-08-02,5.198443,5.213192,5.037197,5.057541,5.057541,105687249
2023-08-03,5.057383,5.067687,4.958855,4.979019,4.979019,108219090
2023-08-04,4.979124,5.035709,4.952365,4.988202,4.988202,91297132
2023-08-05,4.988304,4.988304,4.933332,4.969211,4.969211,66736994
2023-08-06,4.969323,5.034574,4.961686,4.998167,4.998167,74936169
2023-08-07,4.998312,5.033479,4.863506,4.960562,4.960562,98113615
2023-08-08,4.960387,5.091316,4.935423,5.060579,5.060579,93242098
2023-08-09,5.060264,5.098580,5.007319,5.054280,5.054280,193940099
2023-08-10,5.054598,5.060769,4.979276,4.999232,4.999232,80124805
2023-08-11,4.999112,5.011640,4.964208,5.003922,5.003922,73349263
2023-08-12,5.003892,5.039072,4.996596,5.034986,5.034986,63042563
2023-08-13,5.035067,5.039820,4.975061,4.986303,4.986303,75135778
2023-08-14,4.986372,5.042031,4.960404,4.988302,4.988302,86237754
2023-08-15,4.988226,4.990061,4.738361,4.812484,4.812484,99337249
2023-08-16,4.812510,4.832493,4.570713,4.666007,4.666007,114876395
2023-08-17,4.666011,4.797300,4.347028,4.437964,4.437964,182208314
2023-08-18,4.437980,4.549985,4.373006,4.511816,4.511816,134503745
2023-08-19,4.512007,4.549934,4.461949,4.517585,4.517585,78725804
2023-08-20,4.517655,4.530388,4.475181,4.519974,4.519974,79414171
2023-08-21,4.519768,4.533382,4.386839,4.433643,4.433643,100727327
2023-08-22,4.433529,4.446288,4.284953,4.420719,4.420719,106327520
2023-08-23,4.420626,4.529268,4.384713,4.488097,4.488097,101919596
2023-08-24,4.488243,4.513967,4.379234,4.421587,4.421587,89023517
2023-08-25,4.421728,4.487390,4.367270,4.486454,4.486454,94505373
2023-08-26,4.486581,4.509414,4.479504,4.504440,4.504440,64094464
2023-08-27,4.504369,4.534093,4.469480,4.492393,4.492393,72388709
2023-08-28,4.492270,4.612860,4.429404,4.606012,4.606012,106679076
2023-08-29,4.606247,4.793432,4.544566,4.672861,4.672861,151248371
2023-08-30,4.673511,4.676996,4.528356,4.536326,4.536326,97826997
2023-08-31,4.536424,4.537136,4.249265,4.269450,4.269450,154667296
2023-09-01,4.269524,4.292116,4.165602,4.215832,4.215832,120746799
2023-09-02,4.215987,4.270141,4.210273,4.261871,4.261871,69668222
2023-09-03,4.262035,4.297564,4.237326,4.261633,4.261633,67945949
2023-09-04,4.261396,4.313476,4.201612,4.253158,4.253158,92578305
2023-09-05,4.253233,4.296285,4.210846,4.256727,4.256727,79724505
2023-09-06,4.256875,4.272677,4.193647,4.269389,4.269389,89409575
2023-09-07,4.269510,4.301763,4.236168,4.286740,4.286740,91550865
2023-09-08,4.286993,4.324171,4.218164,4.249899,4.249899,91436484
2023-09-09,4.249749,4.272862,4.239682,4.239696,4.239696,55876925
2023-09-10,4.239597,4.239597,4.117676,4.151951,4.151951,93614703
2023-09-11,4.151890,4.151890,3.921806,3.987120,3.987120,150489930
2023-09-12,3.987102,4.083702,3.971523,3.986928,3.986928,119246327
2023-09-13,3.987335,4.067595,3.955519,4.002867,4.002867,110074342
2023-09-14,4.002846,4.086883,3.980480,4.058726,4.058726,104617463
2023-09-15,4.058772,4.168669,4.051913,4.141959,4.141959,92364607
2023-09-16,4.141648,4.222273,4.141084,4.185609,4.185609,78607121
2023-09-17,4.185529,4.187349,4.060371,4.074598,4.074598,69631309
2023-09-18,4.074344,4.217762,4.031318,4.108243,4.108243,107466794
2023-09-19,4.108263,4.163175,4.087499,4.156242,4.156242,98635960
2023-09-20,4.156310,4.166063,4.086918,4.139903,4.139903,94604882
2023-09-21,4.139848,4.161034,4.008155,4.013979,4.013979,96861726
2023-09-22,4.014036,4.035164,3.996578,4.019402,4.019402,83094041
