Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,0.007217,0.012423,0.007033,0.010837,0.010837,2014705
2018-12-08,0.010974,0.011965,0.008753,0.009224,0.009224,1355967
2018-12-09,0.009151,0.009990,0.008638,0.009302,0.009302,1224759
2018-12-10,0.009366,0.009526,0.008410,0.008589,0.008589,1890064
2018-12-11,0.008573,0.009658,0.008219,0.009358,0.009358,1699016
2018-12-12,0.009388,0.009678,0.008705,0.009108,0.009108,2328828
2018-12-13,0.009157,0.009395,0.008283,0.008351,0.008351,1041717
2018-12-14,0.008317,0.008442,0.007276,0.007380,0.007380,1440942
2018-12-15,0.007364,0.007678,0.007106,0.007280,0.007280,1417299
2018-12-16,0.007297,0.007898,0.006867,0.007135,0.007135,1334407
2018-12-17,0.007220,0.007973,0.007114,0.007566,0.007566,2497462
2018-12-18,0.007538,0.007755,0.006798,0.007260,0.007260,3199396
2018-12-19,0.007194,0.008164,0.007164,0.007417,0.007417,3251917
2018-12-20,0.007539,0.007731,0.006843,0.007080,0.007080,3334676
2018-12-21,0.007148,0.007552,0.006467,0.006601,0.006601,1577348
2018-12-22,0.006490,0.007317,0.006490,0.006834,0.006834,1357629
2018-12-23,0.006862,0.007275,0.006603,0.006959,0.006959,1439258
2018-12-24,0.006961,0.007377,0.006610,0.006741,0.006741,1259294
2018-12-25,0.006739,0.006739,0.005361,0.005816,0.005816,739622
2018-12-26,0.005816,0.007047,0.005097,0.006367,0.006367,1926257
2018-12-27,0.006359,0.006770,0.005419,0.005419,0.005419,1191867
2018-12-28,0.005463,0.005582,0.005208,0.005399,0.005399,1786101
2018-12-29,0.005416,0.005957,0.005327,0.005548,0.005548,1649299
2018-12-30,0.005539,0.006718,0.005321,0.006100,0.006100,1236802
2018-12-31,0.006102,0.006173,0.005622,0.005713,0.005713,1486596
2019-01-01,0.005719,0.005816,0.005506,0.005785,0.005785,1601061
2019-01-02,0.005797,0.005965,0.005621,0.005798,0.005798,1662645
2019-01-03,0.005786,0.006481,0.005734,0.006100,0.006100,1628548
2019-01-04,0.006104,0.012177,0.006087,0.012177,0.012177,4121735
2019-01-05,0.012032,0.019896,0.011075,0.013176,0.013176,10503938
2019-01-06,0.013197,0.013197,0.010313,0.012012,0.012012,4169014
2019-01-07,0.012227,0.014058,0.011189,0.013527,0.013527,5281957
2019-01-08,0.013567,0.018930,0.013327,0.017524,0.017524,8684550
2019-01-09,0.017527,0.018457,0.016424,0.017387,0.017387,6362338
2019-01-10,0.017474,0.017474,0.011919,0.013399,0.013399,4430368
2019-01-11,0.013339,0.014043,0.012840,0.013012,0.013012,3064873
2019-01-12,0.013003,0.013101,0.011121,0.011425,0.011425,3083274
2019-01-13,0.011414,0.013747,0.011144,0.012190,0.012190,3795484
2019-01-14,0.012095,0.012588,0.011572,0.012393,0.012393,2927427
2019-01-15,0.012266,0.012605,0.011730,0.011892,0.011892,2605783
2019-01-16,0.011879,0.011930,0.011399,0.011454,0.011454,1910392
2019-01-17,0.011445,0.011711,0.010977,0.011096,0.011096,2324914
2019-01-18,0.011183,0.011996,0.011003,0.011544,0.011544,2153018
2019-01-19,0.011480,0.011629,0.011226,0.011276,0.011276,1627798
2019-01-20,0.011256,0.011300,0.010521,0.010999,0.010999,1631588
2019-01-21,0.010964,0.011026,0.010434,0.010581,0.010581,1490449
2019-01-22,0.010585,0.010649,0.009768,0.009774,0.009774,1618160
2019-01-23,0.009733,0.010425,0.009491,0.010251,0.010251,1448839
2019-01-24,0.010364,0.010742,0.009940,0.010318,0.010318,2293239
2019-01-25,0.010284,0.010921,0.010152,0.010297,0.010297,1911587
2019-01-26,0.010296,0.010364,0.009899,0.009916,0.009916,2524861
2019-01-27,0.009923,0.010057,0.009416,0.009433,0.009433,2781987
2019-01-28,0.009421,0.009675,0.008089,0.008538,0.008538,2064228
2019-01-29,0.008590,0.009964,0.007979,0.009240,0.009240,2731142
2019-01-30,0.009287,0.009517,0.008691,0.008959,0.008959,1990841
2019-01-31,0.008957,0.009362,0.008569,0.008584,0.008584,1323619
2019-02-01,0.008558,0.008800,0.008277,0.008710,0.008710,1218615
2019-02-02,0.008699,0.009069,0.008634,0.008949,0.008949,1629630
2019-02-03,0.008887,0.009721,0.008637,0.009253,0.009253,1847702
2019-02-04,0.009322,0.009915,0.009147,0.009474,0.009474,1390541
2019-02-05,0.009459,0.009515,0.008764,0.008979,0.008979,1570890
2019-02-06,0.008993,0.008993,0.008565,0.008608,0.008608,964150
2019-02-07,0.008610,0.008746,0.008451,0.008617,0.008617,600464
2019-02-08,0.008620,0.009140,0.008334,0.008896,0.008896,732782
2019-02-09,0.008908,0.008937,0.008522,0.008585,0.008585,1527647
2019-02-10,0.008565,0.008788,0.008439,0.008460,0.008460,1497621
2019-02-11,0.008473,0.008560,0.008161,0.008266,0.008266,1412182
2019-02-12,0.008265,0.008749,0.008131,0.008706,0.008706,1602376
2019-02-13,0.008647,0.008694,0.008231,0.008293,0.008293,1743199
2019-02-14,0.008285,0.009392,0.008177,0.009033,0.009033,2040350
2019-02-15,0.009028,0.009131,0.008402,0.008456,0.008456,1263498
2019-02-16,0.008449,0.008626,0.008385,0.008585,0.008585,1365810
2019-02-17,0.008584,0.008742,0.008156,0.008256,0.008256,1624265
2019-02-18,0.008245,0.008987,0.008243,0.008677,0.008677,1581121
2019-02-19,0.008722,0.008781,0.008457,0.008582,0.008582,976446
2019-02-20,0.008585,0.008849,0.008518,0.008675,0.008675,979279
2019-02-21,0.008673,0.008731,0.008361,0.008392,0.008392,632541
2019-02-22,0.008378,0.008948,0.008245,0.008329,0.008329,334478
2019-02-23,0.008348,0.008540,0.008233,0.008402,0.008402,979647
2019-02-24,0.008376,0.008683,0.007150,0.008121,0.008121,1035053
2019-02-25,0.008122,0.008185,0.007183,0.007536,0.007536,985907
2019-02-26,0.007517,0.007547,0.007183,0.007194,0.007194,1683128
2019-02-27,0.007201,0.007322,0.007051,0.007173,0.007173,139185
2019-02-28,0.007148,0.007231,0.006783,0.007013,0.007013,1852769
2019-03-01,0.007006,0.007605,0.006912,0.007311,0.007311,1504454
2019-03-02,0.007302,0.007318,0.006865,0.007096,0.007096,1597707
2019-03-03,0.007089,0.007151,0.006827,0.006990,0.006990,1487486
2019-03-04,0.006999,0.007046,0.006574,0.006751,0.006751,1445767
2019-03-05,0.006722,0.007821,0.006675,0.006817,0.006817,1393225
2019-03-06,0.006803,0.007381,0.006684,0.006704,0.006704,1603215
2019-03-07,0.006705,0.006751,0.006235,0.006254,0.006254,2049658
2019-03-08,0.006298,0.006510,0.005971,0.006045,0.006045,1568385
2019-03-09,0.006041,0.008493,0.005968,0.006709,0.006709,3268333
2019-03-10,0.006549,0.007299,0.006146,0.006804,0.006804,2335771
2019-03-11,0.006770,0.007216,0.006427,0.006755,0.006755,1794664
2019-03-12,0.006761,0.006883,0.006208,0.006518,0.006518,7314029
2019-03-13,0.006533,0.006688,0.006316,0.006518,0.006518,1745055
2019-03-14,0.006517,0.006525,0.006218,0.006369,0.006369,678384
2019-03-15,0.006326,0.006397,0.006142,0.006249,0.006249,234948
2019-03-16,0.006283,0.006600,0.006197,0.006467,0.006467,2077375
2019-03-17,0.006468,0.006471,0.006194,0.006254,0.006254,620458
2019-03-18,0.006259,0.006343,0.006156,0.006230,0.006230,150964
2019-03-19,0.006233,0.006415,0.006088,0.006241,0.006241,651225
2019-03-20,0.006242,0.006750,0.006162,0.006704,0.006704,1291988
2019-03-21,0.006713,0.006721,0.005945,0.006238,0.006238,3156883
2019-03-22,0.006192,0.006445,0.006082,0.006230,0.006230,3332561
2019-03-23,0.006264,0.007608,0.006218,0.007109,0.007109,2505238
2019-03-24,0.007137,0.009717,0.006958,0.008747,0.008747,2488013
2019-03-25,0.008755,0.009278,0.007048,0.007318,0.007318,803794
2019-03-26,0.007335,0.007445,0.006676,0.006840,0.006840,237782
2019-03-27,0.006845,0.007200,0.006703,0.006924,0.006924,208635
2019-03-28,0.006900,0.007091,0.006259,0.006712,0.006712,409096
2019-03-29,0.006713,0.006944,0.005808,0.006724,0.006724,1093500
2019-03-30,0.006714,0.007485,0.006040,0.007459,0.007459,1812928
2019-03-31,0.007459,0.007459,0.006768,0.006912,0.006912,458706
2019-04-01,0.006915,0.007235,0.006672,0.007106,0.007106,5812703
2019-04-02,0.006995,0.008282,0.006678,0.007697,0.007697,1135050
2019-04-03,0.007697,0.007963,0.007025,0.007360,0.007360,727538
2019-04-04,0.007356,0.007751,0.007225,0.007726,0.007726,932780
2019-04-05,0.007725,0.008367,0.007605,0.008342,0.008342,336027
2019-04-06,0.008279,0.011878,0.008279,0.011446,0.011446,2070741
2019-04-07,0.011506,0.015871,0.011166,0.011830,0.011830,5257210
2019-04-08,0.011800,0.011868,0.009793,0.010380,0.010380,3113595
2019-04-09,0.010380,0.010422,0.009244,0.009607,0.009607,945084
2019-04-10,0.009605,0.010093,0.009307,0.009546,0.009546,973649
2019-04-11,0.009564,0.009822,0.007954,0.008274,0.008274,1235925
2019-04-12,0.008272,0.008770,0.008001,0.008560,0.008560,746224
2019-04-13,0.008560,0.009170,0.008158,0.008387,0.008387,1174344
2019-04-14,0.008387,0.010792,0.008250,0.008508,0.008508,854668
2019-04-15,0.008508,0.010186,0.008501,0.008785,0.008785,1486603
2019-04-16,0.008785,0.009681,0.008534,0.009176,0.009176,1237409
2019-04-17,0.009175,0.009222,0.008616,0.008875,0.008875,1853214
2019-04-18,0.008690,0.009045,0.008545,0.008632,0.008632,1190388
2019-04-19,0.008632,0.008949,0.008455,0.008805,0.008805,1471537
2019-04-20,0.008808,0.008808,0.008411,0.008452,0.008452,138308
2019-04-21,0.008453,0.008661,0.007470,0.007844,0.007844,4973246
2019-04-22,0.007838,0.008520,0.007549,0.007802,0.007802,2451643
2019-04-23,0.007802,0.008596,0.007787,0.007925,0.007925,783855
2019-04-24,0.007925,0.007925,0.006969,0.007396,0.007396,804809
2019-04-25,0.007396,0.007594,0.006489,0.006635,0.006635,109716
2019-04-26,0.006645,0.006844,0.005385,0.006097,0.006097,498107
2019-04-27,0.006100,0.006512,0.005939,0.006071,0.006071,1683745
2019-04-28,0.006314,0.007234,0.006077,0.006746,0.006746,367547
2019-04-29,0.006748,0.006752,0.006115,0.006358,0.006358,598624
2019-04-30,0.006358,0.006570,0.006152,0.006387,0.006387,279243
2019-05-01,0.006386,0.006645,0.006283,0.006358,0.006358,255955
2019-05-02,0.006317,0.006483,0.006268,0.006391,0.006391,100520
2019-05-03,0.006397,0.007130,0.006242,0.006836,0.006836,377257
2019-05-04,0.006845,0.006922,0.006259,0.006304,0.006304,241183
2019-05-05,0.006304,0.006408,0.006097,0.006258,0.006258,430686
2019-05-06,0.006255,0.006597,0.006035,0.006332,0.006332,360801
2019-05-07,0.006331,0.006761,0.006128,0.006446,0.006446,536715
2019-05-08,0.006440,0.006452,0.005989,0.006229,0.006229,482642
2019-05-09,0.006185,0.006456,0.005975,0.006326,0.006326,522722
2019-05-10,0.006323,0.007929,0.005889,0.006133,0.006133,395494
2019-05-11,0.006142,0.006641,0.005870,0.006471,0.006471,573146
2019-05-12,0.006424,0.006552,0.005890,0.006020,0.006020,490276
2019-05-13,0.006020,0.006831,0.005763,0.006064,0.006064,490739
2019-05-14,0.006011,0.006472,0.005718,0.006314,0.006314,514421
2019-05-15,0.006311,0.007289,0.006308,0.007066,0.007066,591834
2019-05-16,0.007058,0.007432,0.006504,0.006835,0.006835,1110257
2019-05-17,0.006833,0.007269,0.006066,0.006642,0.006642,638201
2019-05-18,0.006642,0.006881,0.006460,0.006493,0.006493,469218
2019-05-19,0.006495,0.007286,0.006486,0.007239,0.007239,510207
2019-05-20,0.007239,0.007240,0.006303,0.006494,0.006494,250309
2019-05-21,0.006493,0.007233,0.006373,0.006680,0.006680,640860
2019-05-22,0.006680,0.007855,0.006513,0.006844,0.006844,443986
2019-05-23,0.006844,0.007104,0.006534,0.007058,0.007058,619100
2019-05-24,0.007054,0.007107,0.006676,0.006813,0.006813,552714
2019-05-25,0.006813,0.007054,0.006612,0.006687,0.006687,495665
2019-05-26,0.006682,0.007298,0.006653,0.007265,0.007265,637002
2019-05-27,0.007268,0.007338,0.006902,0.006996,0.006996,575084
2019-05-28,0.006993,0.007822,0.006507,0.007646,0.007646,717218
2019-05-29,0.007646,0.007672,0.006773,0.006783,0.006783,581787
2019-05-30,0.006783,0.007487,0.006650,0.006710,0.006710,1104237
2019-05-31,0.006710,0.007213,0.006562,0.007205,0.007205,483250
2019-06-01,0.007204,0.007259,0.006804,0.006982,0.006982,520252
2019-06-02,0.006982,0.007169,0.006977,0.007110,0.007110,491319
2019-06-03,0.007110,0.007112,0.006320,0.006356,0.006356,493511
2019-06-04,0.006350,0.006351,0.005736,0.005835,0.005835,431389
2019-06-05,0.005834,0.006407,0.005833,0.006317,0.006317,505961
2019-06-06,0.006316,0.006929,0.006305,0.006798,0.006798,786168
2019-06-07,0.006799,0.006856,0.006464,0.006708,0.006708,585321
2019-06-08,0.006709,0.007110,0.006437,0.006730,0.006730,734041
2019-06-09,0.006730,0.006978,0.006284,0.006379,0.006379,633594
2019-06-10,0.006368,0.006596,0.006292,0.006411,0.006411,605924
2019-06-11,0.006415,0.006687,0.006318,0.006579,0.006579,208888
2019-06-12,0.006583,0.006599,0.006364,0.006487,0.006487,560534
2019-06-13,0.006489,0.006584,0.006428,0.006521,0.006521,1214027
2019-06-14,0.006525,0.006545,0.006195,0.006357,0.006357,456102
2019-06-15,0.006297,0.006556,0.006172,0.006378,0.006378,535869
2019-06-16,0.006378,0.006601,0.005589,0.006394,0.006394,540535
2019-06-17,0.006398,0.006499,0.006109,0.006423,0.006423,120002
2019-06-18,0.006423,0.006430,0.006055,0.006097,0.006097,458266
2019-06-19,0.006100,0.006308,0.005911,0.006233,0.006233,118427
2019-06-20,0.006233,0.006286,0.006040,0.006098,0.006098,562090
2019-06-21,0.006101,0.006152,0.005920,0.005951,0.005951,204423
2019-06-22,0.005961,0.006025,0.005422,0.005612,0.005612,656621
2019-06-23,0.005613,0.005976,0.005508,0.005791,0.005791,443577
2019-06-24,0.005791,0.005915,0.004967,0.005485,0.005485,521072
2019-06-25,0.005484,0.005811,0.005467,0.005614,0.005614,479242
2019-06-26,0.005614,0.005949,0.005293,0.005422,0.005422,655381
2019-06-27,0.005422,0.005512,0.004497,0.004617,0.004617,374458
2019-06-28,0.004620,0.005587,0.004488,0.005242,0.005242,597180
2019-06-29,0.005245,0.005797,0.004984,0.005389,0.005389,574080
2019-06-30,0.005330,0.005698,0.004937,0.004937,0.004937,467258
2019-07-01,0.004937,0.005713,0.004902,0.005292,0.005292,296717
2019-07-02,0.005291,0.005690,0.004698,0.005011,0.005011,265052
2019-07-03,0.005012,0.005549,0.004804,0.005080,0.005080,159043
2019-07-04,0.005054,0.005146,0.004735,0.005014,0.005014,122030
2019-07-05,0.005014,0.005028,0.004599,0.004662,0.004662,128381
2019-07-06,0.004667,0.005281,0.004667,0.004831,0.004831,161047
2019-07-07,0.004848,0.005187,0.004820,0.005033,0.005033,620395
2019-07-08,0.005033,0.005249,0.004767,0.005028,0.005028,282571
2019-07-09,0.005029,0.007670,0.004738,0.007024,0.007024,2336065
2019-07-10,0.007021,0.007634,0.005517,0.005803,0.005803,1964100
2019-07-11,0.005730,0.006446,0.004763,0.005047,0.005047,1207839
2019-07-12,0.005050,0.005132,0.004651,0.004805,0.004805,1630109
2019-07-13,0.004806,0.006232,0.004590,0.005572,0.005572,3356103
2019-07-14,0.005573,0.006329,0.005120,0.005302,0.005302,4293451
2019-07-15,0.005318,0.005881,0.004935,0.005780,0.005780,4296814
2019-07-16,0.005773,0.005846,0.004729,0.004734,0.004734,4327671
2019-07-17,0.004721,0.006389,0.004721,0.006285,0.006285,4621280
2019-07-18,0.006338,0.007567,0.005928,0.006578,0.006578,6207926
2019-07-19,0.006578,0.006586,0.005406,0.005887,0.005887,5292840
2019-07-20,0.005883,0.006879,0.005474,0.006335,0.006335,4786454
2019-07-21,0.006335,0.006814,0.006035,0.006311,0.006311,7166690
2019-07-22,0.006312,0.006605,0.005863,0.006436,0.006436,9090278
2019-07-23,0.006436,0.007758,0.006245,0.007042,0.007042,12157695
2019-07-24,0.007042,0.007585,0.006706,0.006960,0.006960,6938797
2019-07-25,0.006957,0.007289,0.006291,0.006560,0.006560,453471
2019-07-26,0.006559,0.007152,0.006243,0.006901,0.006901,7391539
2019-07-27,0.006901,0.007184,0.006069,0.006338,0.006338,3391337
2019-07-28,0.006338,0.007074,0.006143,0.006949,0.006949,3512059
2019-07-29,0.006948,0.007054,0.006373,0.006668,0.006668,3517195
2019-07-30,0.006669,0.006692,0.005991,0.006048,0.006048,2530133
2019-07-31,0.006135,0.006266,0.005728,0.006036,0.006036,2299354
2019-08-01,0.005955,0.006175,0.005275,0.005516,0.005516,3873961
2019-08-02,0.005517,0.005702,0.005011,0.005482,0.005482,1529245
2019-08-03,0.005483,0.005603,0.005199,0.005309,0.005309,4030176
2019-08-04,0.005310,0.005485,0.005214,0.005484,0.005484,3669268
2019-08-05,0.005482,0.006994,0.005387,0.006865,0.006865,4001094
2019-08-06,0.006964,0.006977,0.006477,0.006764,0.006764,2405223
2019-08-07,0.006656,0.008025,0.005940,0.006091,0.006091,3099036
2019-08-08,0.006091,0.006180,0.005635,0.005949,0.005949,512054
2019-08-09,0.005949,0.006350,0.005459,0.005753,0.005753,899190
2019-08-10,0.005753,0.006225,0.005337,0.005353,0.005353,1885999
2019-08-11,0.005445,0.005654,0.005347,0.005532,0.005532,2739463
2019-08-12,0.005533,0.005635,0.005279,0.005366,0.005366,2003997
2019-08-13,0.005365,0.005476,0.005001,0.005123,0.005123,4366200
