Date,Open,High,Low,Close,Adj Close,Volume
2020-08-29,6.934732,6.963617,6.834933,6.900954,6.900954,1222026
2020-08-30,6.930022,6.931295,6.737834,6.931295,6.931295,855255
2020-08-31,6.931295,7.424100,6.824238,7.142372,7.142372,2694237
2020-09-01,7.141760,7.369425,6.751487,6.820755,6.820755,884902
2020-09-02,6.820650,6.861973,5.972714,6.278779,6.278779,1071541
2020-09-03,6.278746,6.363632,5.486580,5.499348,5.499348,844125
2020-09-04,5.598893,5.869162,5.381894,5.667359,5.667359,422303
2020-09-05,5.667354,5.971518,5.044025,5.111879,5.111879,365514
2020-09-06,5.111945,5.314176,4.661566,4.960493,4.960493,188923
2020-09-07,5.018731,5.169673,4.443224,4.797935,4.797935,528866
2020-09-08,4.802209,6.653660,4.736856,6.507385,6.507385,25871449
2020-09-09,6.451984,8.383987,6.251534,6.739347,6.739347,33966838
2020-09-10,6.739347,7.588325,6.334273,6.644333,6.644333,15758859
2020-09-11,6.644221,6.694683,4.045052,5.266162,5.266162,5561173
2020-09-12,5.186769,5.261955,4.617868,4.865247,4.865247,5685828
2020-09-13,4.865247,6.090067,4.865247,5.235811,5.235811,24866825
2020-09-14,5.227401,5.540997,4.815259,5.135960,5.135960,5009681
2020-09-15,5.135960,5.196568,4.660607,4.719856,4.719856,2000849
2020-09-16,4.719736,4.719815,4.330034,4.406005,4.406005,1212112
2020-09-17,4.405992,4.462604,4.104601,4.369859,4.369859,897915
2020-09-18,4.327570,4.557356,4.243022,4.321928,4.321928,1551438
2020-09-19,4.321930,4.458635,4.300638,4.343233,4.343233,449004
2020-09-20,4.360353,4.381808,4.077124,4.128532,4.128532,582810
2020-09-21,4.128532,4.297632,3.496374,3.643578,3.643578,650992
2020-09-22,3.643379,3.703665,3.228452,3.415784,3.415784,364226
2020-09-23,3.415764,3.574358,3.263269,3.267454,3.267454,374467
2020-09-24,3.267426,3.458726,2.981247,3.433490,3.433490,509434
2020-09-25,3.433402,3.435489,3.150658,3.412644,3.412644,319196
2020-09-26,3.412609,3.414326,3.274707,3.385257,3.385257,270328
2020-09-27,3.389521,3.415111,3.252712,3.393853,3.393853,254487
2020-09-28,3.385356,4.335576,3.331227,3.846130,3.846130,5549296
2020-09-29,3.846360,4.808624,3.820590,4.346532,4.346532,14215323
2020-09-30,4.410664,4.723683,4.282711,4.430085,4.430085,8960882
2020-10-01,4.430009,4.541592,3.976108,4.049937,4.049937,2541934
2020-10-02,4.062869,4.063776,3.547998,3.776856,3.776856,2222110
2020-10-03,3.776856,3.905348,3.652508,3.806747,3.806747,1484786
2020-10-04,3.802460,3.806747,3.570976,3.665465,3.665465,638516
2020-10-05,3.644237,3.721761,3.450990,3.573485,3.573485,1066392
2020-10-06,3.573532,3.573532,3.280681,3.323414,3.323414,328094
2020-10-07,3.327672,3.392392,3.104477,3.292371,3.292371,317523
2020-10-08,3.313961,4.034328,3.179350,3.838553,3.838553,4446393
2020-10-09,3.803856,4.088496,3.565475,3.869147,3.869147,4482290
2020-10-10,3.869147,3.869147,3.593788,3.668040,3.668040,1444201
2020-10-11,3.668040,3.672405,3.340255,3.440731,3.440731,1259740
2020-10-12,3.440731,3.643230,3.409948,3.530955,3.530955,4442575
2020-10-13,3.526621,3.555003,3.372852,3.417519,3.417519,1317272
2020-10-14,3.417519,3.494062,3.302640,3.364538,3.364538,940448
2020-10-15,3.360181,3.363436,3.195933,3.318411,3.318411,476398
2020-10-16,3.287863,3.341345,3.147146,3.235302,3.235302,534927
2020-10-17,3.235302,3.256848,3.178436,3.226206,3.226206,154610
2020-10-18,3.230584,3.309377,3.173622,3.199965,3.199965,271893
2020-10-19,3.199965,3.221140,3.144838,3.185964,3.185964,347705
2020-10-20,3.185941,3.253863,2.992509,3.014435,3.014435,640169
2020-10-21,3.001278,3.096654,2.916948,2.992021,2.992021,598906
2020-10-22,3.000844,3.033836,2.912121,2.968720,2.968720,327638
2020-10-23,2.986338,3.116986,2.949664,3.049312,3.049312,923506
2020-10-24,3.049314,3.544680,3.032192,3.226046,3.226046,3796488
2020-10-25,3.226045,3.699814,3.216918,3.287703,3.287703,9276552
2020-10-26,3.287703,3.287703,2.938262,2.988603,2.988603,1786407
2020-10-27,2.988609,3.008330,2.754522,2.838055,2.838055,1048034
2020-10-28,2.838175,2.885709,2.573734,2.682174,2.682174,645244
2020-10-29,2.682293,2.688838,2.534357,2.591979,2.591979,211924
2020-10-30,2.592103,2.592103,2.359153,2.397542,2.397542,297743
2020-10-31,2.397541,2.573451,2.388798,2.516277,2.516277,881230
2020-11-01,2.516277,2.516277,2.432693,2.463407,2.463407,188170
2020-11-02,2.463408,2.556496,2.309244,2.395998,2.395998,391298
2020-11-03,2.395783,2.423189,2.160780,2.227370,2.227370,658946
2020-11-04,2.227484,2.263557,2.072574,2.157789,2.157789,298645
2020-11-05,2.157826,2.347730,2.093820,2.238324,2.238324,744231
2020-11-06,2.238324,2.472944,2.216354,2.362085,2.362085,1546427
